,Symbol,Name,Industry,IndustryCode
858,CORE,Core-Mark Holding Company Inc,식품 및 약품소매,543010
859,TTGT,TechTarget Inc,소프트웨어 및 IT서비스,572010
860,CVCO,Cavco Industries Inc,주택건설,532030
861,TRMK,Trustmark Corp,은행,551010
862,ASTS,AST SpaceMobile Inc Class A,기타 금융업,556010
863,PLMR,Palomar Holdings Inc,보험,553010
864,AMRN,Amarin Corporation PLC ADR,생명과학 및 메디컬 리서치,562020
865,STRA,Strategic Education Inc,교육서비스,631010
866,MGRC,McGrath RentCorp,전문 및 상업 서비스,522030
867,BANR,Banner Corp,은행,551010
868,ESTA,Establishment Labs Holdings Inc,헬스케어 장비 및 용품,561010
869,PLAY,Dave & Buster's Entertainment Inc,호텔 및 엔터테인먼트,533010
870,OAS,Oasis Petroleum Inc,오일 및 가스,501020
871,MCRB,Seres Therapeutics Inc,생명과학 및 메디컬 리서치,562020
872,SBCF,Seacoast Banking Corporation of Florida,은행,551010
873,CSTL,Castle Biosciences Inc,헬스케어 장비 및 용품,561010
874,RUSHA,Rush Enterprises Inc Class A,전문품 상점,534030
875,TBK,Triumph Bancorp Inc,은행,551010
876,GCMG,GCM Grosvenor Inc Class A,투자은행 및 서비스,551020
877,HHR,HeadHunter Group PLC ADR,전문 및 상업 서비스,522030
878,PTEN,Patterson-UTI Energy Inc,오일 및 가스 장비 및 서비스,501030
879,AVIR,Atea Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
880,RILY,B Riley Financial Inc,투자은행 및 서비스,551020
881,IRTC,iRhythm Technologies Inc,헬스케어 장비 및 용품,561010
882,ARCE,Arco Platform Ltd Class A,비즈니스교육,631030
883,IRWD,Ironwood Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
884,INO,Inovio Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
885,REAL,RealReal Inc,다양한 소매업,534020
886,TMCI,Treace Medical Concepts Inc,헬스케어 장비 및 용품,561010
887,OSIS,OSI Systems Inc,전자 장비 및 부품,571040
888,CSWI,CSW Industrials Inc,화학,511010
889,EGBN,Eagle Bancorp Inc,은행,551010
890,ICFI,ICF International Inc,전문 및 상업 서비스,522030
891,PRAA,PRA Group Inc,은행,551010
892,RIDE,Lordstown Motors Corp Class A,자동차 및 자동차 부품,531010
893,VBTX,Veritex Holdings Inc,은행,551010
894,GPRO,GoPro Inc Class A,"컴퓨터, 전화 및 가전제품",571060
895,CLBK,Columbia Financial Inc,은행,551010
896,RDNT,RadNet Inc,헬스케어 업체 및 서비스,561020
897,HRMY,Harmony Biosciences Holdings Inc,제약,562010
898,HOPE,Hope Bancorp Inc,은행,551010
899,SRNGU,Soaring Eagle Acquisition Corp,기타 금융업,556010
900,VIACA,ViacomCBS Inc Class A,미디어 및 출판,533020
901,ACB,Aurora Cannabis Inc,제약,562010
902,SNDL,Sundial Growers Inc,제약,562010
903,WKHS,Workhorse Group Inc,자동차 및 자동차 부품,531010
904,CALM,Cal-Maine Foods Inc,식품 및 담배,541020
905,NWBI,Northwest Bancshares Inc,은행,551010
906,COHU,Cohu Inc,반도체 및 반도체 장비,571010
907,SMCI,Super Micro Computer Inc,"컴퓨터, 전화 및 가전제품",571060
908,GTH,Genetron Holdings Ltd ADR,헬스케어 업체 및 서비스,561020
909,CATM,Cardtronics PLC Class A,전문 및 상업 서비스,522030
910,DCBO,Docebo Inc,소프트웨어 및 IT서비스,572010
911,NYMT,New York Mortgage Trust Inc,주택 및 상업용 리츠,601020
912,PATK,Patrick Industries Inc,주택건설,532030
913,SCWX,SecureWorks Corp Class A,소프트웨어 및 IT서비스,572010
914,LTCH,Latch Inc,기타 금융업,556010
915,LMNX,Luminex Corp,헬스케어 장비 및 용품,561010
916,PRCH,Porch Group Inc Class A,소프트웨어 및 IT서비스,572010
917,MDGL,Madrigal Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
918,ATSG,Air Transport Services Group Inc,화물 및 물류 서비스,524050
919,SILK,Silk Road Medical Inc,헬스케어 장비 및 용품,561010
920,CDEV,Centennial Resource Development Inc Class A,오일 및 가스,501020
921,PRPL,Purple Innovation Inc,가정용품,532040
922,CERE,Cerevel Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
923,SUPN,Supernus Pharmaceuticals Inc,제약,562010
924,CFFN,Capitol Federal Financial Inc,은행,551010
925,TTCF,Tattooed Chef Inc Class A,식품 및 담배,541020
926,NGMS,Neogames SARL,소프트웨어 및 IT서비스,572010
927,BLNK,Blink Charging Co,전기 유틸리티,591010
928,ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020
929,BLFS,BioLife Solutions Inc,헬스케어 장비 및 용품,561010
930,ALEC,Alector Inc,생명과학 및 메디컬 리서치,562020
931,AMTI,Applied Molecular Transport Inc.,생명과학 및 메디컬 리서치,562020
932,PUBM,PubMatic Inc Class A,소프트웨어 및 IT서비스,572010
933,TPIC,TPI Composites Inc,재생에너지,502010
934,DSP,Viant Technology Inc Class A,소프트웨어 및 IT서비스,572010
935,ROAD,Construction Partners Inc Class A,건설 및 엔지니어링,522010
936,AVID,Avid Technology Inc,소프트웨어 및 IT서비스,572010
937,EPAY,Bottomline Technologies Inc,소프트웨어 및 IT서비스,572010
938,IMCR,Immunocore Holdings PLC ADR,생명과학 및 메디컬 리서치,562020
939,OMIC,Singular Genomics Systems Inc,생명과학 및 메디컬 리서치,562020
940,TELL,Tellurian Inc,오일 및 가스,501020
941,LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
942,RTLR,Rattler Midstream LP Unit,오일 및 가스 장비 및 서비스,501030
943,CASH,Meta Financial Group Inc,은행,551010
944,CSII,Cardiovascular Systems Inc,헬스케어 장비 및 용품,561010
945,SGMO,Sangamo Therapeutics Inc,생명과학 및 메디컬 리서치,562020
946,SSP,E W Scripps Co Class A,미디어 및 출판,533020
947,YMAB,Y-mAbs Therapeutics Inc,생명과학 및 메디컬 리서치,562020
948,NBTB,NBT Bancorp Inc,은행,551010
949,SYKE,Sykes Enterprises Inc,소프트웨어 및 IT서비스,572010
950,CNDT,Conduent Inc,소프트웨어 및 IT서비스,572010
951,WIRE,Encore Wire Corp,"건설장비 및 대형차, 기차, 배",521020
952,CNST,Constellation Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
953,AUPH,Aurinia Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
954,PRIM,Primoris Services Corp,건설 및 엔지니어링,522010
955,REPL,Replimune Group Inc,생명과학 및 메디컬 리서치,562020
956,RGNX,Regenxbio Inc,생명과학 및 메디컬 리서치,562020
957,WABC,Westamerica Bancorp,은행,551010
958,CCCC,C4 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
959,TTMI,TTM Technologies Inc,반도체 및 반도체 장비,571010
960,CAMT,Camtek Ltd,반도체 및 반도체 장비,571010
961,EHTH,eHealth Inc,보험,553010
962,AVO,Mission Produce Inc,식품 및 담배,541020
963,OMP,Oasis Midstream Partners LP Unit,오일 및 가스 장비 및 서비스,501030
964,QURE,Uniqure NV,생명과학 및 메디컬 리서치,562020
965,CYTK,Cytokinetics Inc,생명과학 및 메디컬 리서치,562020
966,PMVP,PMV Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
967,EM,Smart Share Global Ltd ADR,"컴퓨터, 전화 및 가전제품",571060
968,HRTX,Heron Therapeutics Inc,생명과학 및 메디컬 리서치,562020
969,GEVO,Gevo Inc,재생에너지,502010
970,LUNG,Pulmonx Corp,헬스케어 장비 및 용품,561010
971,FRTA,Forterra Inc,건축 자재,512020
972,VRTU,Virtusa Corp,소프트웨어 및 IT서비스,572010
973,CGNT,Cognyte Software Ltd,소프트웨어 및 IT서비스,572010
974,APPH,AppHarvest Inc,식품 및 담배,541020
975,GIII,G-III Apparel Group Ltd,섬유 및 의류,532020
976,LKFN,Lakeland Financial Corp,은행,551010
977,NGM,NGM Biopharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
978,CRTX,Cortexyme Inc,생명과학 및 메디컬 리서치,562020
979,CSGS,CSG Systems International Inc,소프트웨어 및 IT서비스,572010
980,MSEX,Middlesex Water Co,수도 유틸리티,591030
981,PRLD,Prelude Therapeutics Inc,생명과학 및 메디컬 리서치,562020
982,BWMX,Betterware de Mexico SAB de CV,다양한 소매업,534020
983,ECPG,Encore Capital Group Inc,은행,551010
984,SPNS,Sapiens International Corporation NV,소프트웨어 및 IT서비스,572010
985,INGN,Inogen Inc,헬스케어 장비 및 용품,561010
986,MYRG,MYR Group Inc,건설 및 엔지니어링,522010
987,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",571060
988,ATEC,Alphatec Holdings Inc,헬스케어 장비 및 용품,561010
989,KURA,Kura Oncology Inc,생명과학 및 메디컬 리서치,562020
990,AVXL,Anavex Life Sciences Corp,생명과학 및 메디컬 리서치,562020
991,ICHR,Ichor Holdings Ltd,반도체 및 반도체 장비,571010
992,MBUU,Malibu Boats Inc Class A,레저 상품,532050
993,EFSC,Enterprise Financial Services Corp,은행,551010
994,HNST,Honest Company Inc,전문품 상점,534030
995,DSGN,Design Therapeutics Inc,생명과학 및 메디컬 리서치,562020
996,RAVN,Raven Industries Inc,복합 기업,544010
997,PRTC,PureTech Health PLC ADR,생명과학 및 메디컬 리서치,562020
998,CMPS,Compass Pathways PLC ADR,생명과학 및 메디컬 리서치,562020
999,EAR,Eargo Inc,헬스케어 장비 및 용품,561010
1000,GLNG,Golar LNG Ltd,오일 및 가스 장비 및 서비스,501030
1001,GPRE,Green Plains Inc,재생에너지,502010
1002,NNOX,Nano-X Imaging Ltd,헬스케어 장비 및 용품,561010
1003,GBIO,Generation Bio Co,생명과학 및 메디컬 리서치,562020
1004,TBBK,Bancorp Inc,은행,551010
1005,FRG,Franchise Group Inc,"개인, 가정 용품 및 서비스",542010
1006,OPI,Office Properties Income Trust,주택 및 상업용 리츠,601020
1007,CDMO,Avid Bioservices Inc,제약,562010
1008,XOG,Extraction Oil & Gas Inc,오일 및 가스,501020
1009,DCOM,Dime Community Bancshares Inc,은행,551010
1010,RDWR,Radware Ltd,소프트웨어 및 IT서비스,572010
1011,RDCM,Radcom Ltd,"컴퓨터, 전화 및 가전제품",571060
1012,STOK,Stoke Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1013,TBIO,Translate Bio Inc,생명과학 및 메디컬 리서치,562020
1014,KRYS,Krystal Biotech Inc,생명과학 및 메디컬 리서치,562020
1015,ARCB,ArcBest Corp,화물 및 물류 서비스,524050
1016,KRON,Kronos Bio Inc,생명과학 및 메디컬 리서치,562020
1017,SSYS,Stratasys Ltd,전자 장비 및 부품,571040
1018,FARO,FARO Technologies Inc,전자 장비 및 부품,571040
1019,INVZ,Innoviz Technologies Ltd,반도체 및 반도체 장비,571010
1020,BUSE,First Busey Corp,은행,551010
1021,VERV,Verve Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1022,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,571020
1023,ARQT,Arcutis Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
1024,OFLX,Omega Flex Inc,"건설장비 및 대형차, 기차, 배",521020
1025,MGPI,MGP Ingredients Inc,음료,541010
1026,AMWD,American Woodmark Corp,주택건설,532030
1027,PLBY,Plby Group Inc,소프트웨어 및 IT서비스,572010
1028,PAYA,Paya Holdings Inc Class A,전문 및 상업 서비스,522030
1029,HA,Hawaiian Holdings Inc,운송업,524060
1030,ACLS,Axcelis Technologies Inc,반도체 및 반도체 장비,571010
1031,MRTN,Marten Transport Ltd,화물 및 물류 서비스,524050
1032,NVEE,NV5 Global Inc,건설 및 엔지니어링,522010
1033,HTLD,Heartland Express Inc,화물 및 물류 서비스,524050
1034,HMHC,Houghton Mifflin Harcourt Co,전문 및 상업 서비스,522030
1035,JRVR,James River Group Holdings Ltd,보험,553010
1036,TRS,TriMas Corp,"건설장비 및 대형차, 기차, 배",521020
1037,QRTEP,Qurate Retail Inc PRF,다양한 소매업,534020
1038,CMCO,Columbus McKinnon Corp,"건설장비 및 대형차, 기차, 배",521020
1039,MTLS,Materialise NV ADR,소프트웨어 및 IT서비스,572010
1040,EIGI,Endurance International Group Holdings Inc,소프트웨어 및 IT서비스,572010
1041,MLAB,Mesa Laboratories Inc,"건설장비 및 대형차, 기차, 배",521020
1042,PLCE,Children's Place Inc,전문품 상점,534030
1043,STKL,Sunopta Inc,식품 및 담배,541020
1044,ASTE,Astec Industries Inc,"건설장비 및 대형차, 기차, 배",521020
1045,NESR,National Energy Services Reunited Corp,오일 및 가스 장비 및 서비스,501030
1046,ZEAL,Zealand Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
1047,SCHN,Schnitzer Steel Industries Inc Class A,메탈&마이닝,512010
1048,MDXG,MiMedx Group Inc,생명과학 및 메디컬 리서치,562020
1049,ADUS,Addus Homecare Corp,헬스케어 업체 및 서비스,561020
1050,TVTY,Tivity Health Inc,헬스케어 업체 및 서비스,561020
1051,IMGN,ImmunoGen Inc,생명과학 및 메디컬 리서치,562020
1052,KFRC,Kforce Inc,전문 및 상업 서비스,522030
1053,TCBK,Trico Bancshares,은행,551010
1054,QADA,QAD Inc Class A,소프트웨어 및 IT서비스,572010
1055,LASR,nLIGHT Inc,반도체 및 반도체 장비,571010
1056,EWTX,Edgewise Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1057,SCHL,Scholastic Corp,미디어 및 출판,533020
1058,IRCP,IRSA Propiedades Comerciales SA ADR,주택 및 상업용 리츠,601020
1059,SBSI,Southside Bancshares Inc,은행,551010
1060,SKYT,Skywater Technology Inc,반도체 및 반도체 장비,571010
1061,NRIX,Nurix Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1062,INVA,Innoviva Inc,제약,562010
1063,PGEN,Precigen Inc,생명과학 및 메디컬 리서치,562020
1064,MNTK,Montauk Renewables Inc,전기 유틸리티,591010
1065,IDEX,Ideanomics Inc,핀테크,573010
1066,ALVR,Allovir Inc,생명과학 및 메디컬 리서치,562020
1067,AGYS,Agilysys Inc,소프트웨어 및 IT서비스,572010
1068,OCGN,Ocugen Inc,생명과학 및 메디컬 리서치,562020
1069,MGNX,MacroGenics Inc,생명과학 및 메디컬 리서치,562020
1070,FORTY,Formula Systems 1985 Ltd ADR,소프트웨어 및 IT서비스,572010
1071,OCFC,OceanFirst Financial Corp,은행,551010
1072,BCAB,Bioatla Inc,생명과학 및 메디컬 리서치,562020
1073,ATRA,Atara Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
1074,MNMD,Mind Medicine (MindMed) Inc,생명과학 및 메디컬 리서치,562020
1075,IMOS,ChipMOS Technologies Inc ADR,반도체 및 반도체 장비,571010
1076,ENDP,Endo International PLC,제약,562010
1077,WFRD,Weatherford International PLC,오일 및 가스 장비 및 서비스,501030
1078,SCR,Score Media and Gaming Inc Class A,소프트웨어 및 IT서비스,572010
1079,STBA,S&T Bancorp Inc,은행,551010
1080,GRPN,Groupon Inc,다양한 소매업,534020
1081,SNEX,Stonex Group Inc,투자은행 및 서비스,551020
1082,VALN,Valneva SE ADR,생명과학 및 메디컬 리서치,562020
1083,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,571070
1084,USCR,US Concrete Inc,건축 자재,512020
1085,RMR,RMR Group Inc Class A,부동산 운영 관리,601010
1086,MBIN,Merchants Bancorp,은행,551010
1087,CDXS,Codexis Inc,생명과학 및 메디컬 리서치,562020
1088,UPLD,Upland Software Inc,소프트웨어 및 IT서비스,572010
1089,NMFC,New Mountain Finance Corp,다양한 금융서비스,555010
1090,LMAT,LeMaitre Vascular Inc,헬스케어 장비 및 용품,561010
1091,KIDS,OrthoPediatrics Corp,헬스케어 장비 및 용품,561010
1092,DMTK,DermTech Inc,헬스케어 장비 및 용품,561010
1093,GDEN,Golden Entertainment Inc,호텔 및 엔터테인먼트,533010
1094,RPTX,Repare Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1095,STTK,Shattuck Labs Inc,생명과학 및 메디컬 리서치,562020
1096,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,533010
1097,TRVG,Trivago NV ADR,소프트웨어 및 IT서비스,572010
1098,SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010
1099,GOGO,Gogo Inc,통신 서비스,574010
1100,PNTG,Pennant Group Inc,헬스케어 업체 및 서비스,561020
1101,BRKL,Brookline Bancorp Inc,은행,551010
1102,MCRI,Monarch Casino & Resort Inc,호텔 및 엔터테인먼트,533010
1103,CMBM,Cambium Networks Corp,커뮤니케이션 및 네트워킹,571020
1104,KROS,Keros Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1105,RTPY,Reinvent Technology Partners Y Class A,기타 금융업,556010
1106,FBNC,First Bancorp (North Carolina),은행,551010
1107,TRHC,Tabula Rasa HealthCare Inc,헬스케어 장비 및 용품,561010
1108,OCSL,Oaktree Specialty Lending Corp,다양한 금융서비스,555010
1109,ARKO,Arko Corp. Class A,오일 및 가스,501020
1110,QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,다양한 금융서비스,555010
1111,PLUS,ePlus inc,소프트웨어 및 IT서비스,572010
1112,VECO,Veeco Instruments Inc,반도체 및 반도체 장비,571010
1113,SRCE,1st Source Corp,은행,551010
1114,PI,Impinj Inc,반도체 및 반도체 장비,571010
1115,CHEF,Chefs' Warehouse Inc,식품 및 약품소매,543010
1116,NAUT,Nautilus Biotechnology Inc,생명과학 및 메디컬 리서치,562020
1117,CHCO,City Holding Co,은행,551010
1118,SAFT,Safety Insurance Group Inc,보험,553010
1119,NTGR,NETGEAR Inc,커뮤니케이션 및 네트워킹,571020
1120,JOUT,Johnson Outdoors Inc Class A,레저 상품,532050
1121,FMTX,Forma Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
1122,THRY,Thryv Holdings Inc,미디어 및 출판,533020
1123,PAHC,Phibro Animal Health Corp Class A,제약,562010
1124,AMSF,Amerisafe Inc,보험,553010
1125,RNLX,Renalytix AI PLC ADR,소프트웨어 및 IT서비스,572010
1126,BPFH,Boston Private Financial Holdings Inc,은행,551010
1127,ERII,Energy Recovery Inc,"건설장비 및 대형차, 기차, 배",521020
1128,RBBN,Ribbon Communications Inc,커뮤니케이션 및 네트워킹,571020
1129,VNOM,Viper Energy Partners LP Unit,오일 및 가스,501020
1130,NXGN,NextGen Healthcare Inc,소프트웨어 및 IT서비스,572010
1131,AGEN,Agenus Inc,생명과학 및 메디컬 리서치,562020
1132,GGAL,Grupo Financiero Galicia SA ADR,은행,551010
1133,CHY,Calamos Convertible & High Income Fund,다양한 금융서비스,555010
1134,ECOL,US Ecology Inc,전문 및 상업 서비스,522030
1135,HIBB,Hibbett Sports Inc,전문품 상점,534030
1136,UXIN,Uxin Ltd ADR,소프트웨어 및 IT서비스,572010
1137,HEES,H&E Equipment Services Inc,전문 및 상업 서비스,522030
1138,DAWN,Day One Biopharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1139,SYBT,Stock Yards Bancorp Inc,은행,551010
1140,PETQ,PetIQ Inc Class A,제약,562010
1141,MATW,Matthews International Corp Class A,미디어 및 출판,533020
1142,IMKTA,Ingles Markets Inc Class A,식품 및 약품소매,543010
1143,MILE,Metromile Inc,보험,553010
1144,TBPH,Theravance Biopharma Inc,제약,562010
1145,OPRA,Opera Ltd ADR,소프트웨어 및 IT서비스,572010
1146,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,522030
1147,EJH,E-Home Household Service Holdings Ltd,"개인, 가정 용품 및 서비스",542010
1148,CGEM,Cullinan Oncology Inc,생명과학 및 메디컬 리서치,562020
1149,MASS,908 Devices Inc.,"건설장비 및 대형차, 기차, 배",521020
1150,ATRI,Atrion Corp,헬스케어 장비 및 용품,561010
1151,ZUMZ,Zumiez Inc,전문품 상점,534030
1152,NRC,National Research Corp,전문 및 상업 서비스,522030
1153,BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010
1154,GRBK,Green Brick Partners Inc,주택건설,532030
1155,WRLD,World Acceptance Corp,은행,551010
1156,HGEN,Humanigen Inc,제약,562010
1157,CVGW,Calavo Growers Inc,식품 및 담배,541020
1158,EBSB,Meridian Bancorp Inc (MARYLAND),은행,551010
1159,CLDX,Celldex Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1160,OLMA,Olema Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1161,SLP,Simulations Plus Inc,헬스케어 장비 및 용품,561010
1162,EPIX,ESSA Pharma Inc,생명과학 및 메디컬 리서치,562020
1163,MNKD,MannKind Corp,생명과학 및 메디컬 리서치,562020
1164,DYN,Dyne Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1165,PCVX,Vaxcyte Inc,생명과학 및 메디컬 리서치,562020
1166,CENX,Century Aluminum Co,메탈&마이닝,512010
1167,EBIX,Ebix Inc,소프트웨어 및 IT서비스,572010
1168,SGH,Smart Global Holdings Inc,반도체 및 반도체 장비,571010
1169,PHAT,Phathom Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1170,PLRX,Pliant Therapeutics Inc,제약,562010
1171,JYNT,Joint Corp,헬스케어 업체 및 서비스,561020
1172,AUDC,AudioCodes Ltd,커뮤니케이션 및 네트워킹,571020
1173,ACRS,Aclaris Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1174,IMVT,Immunovant Inc,생명과학 및 메디컬 리서치,562020
1175,ALTM,Altus Midstream Co Class A,오일 및 가스 장비 및 서비스,501030
1176,CHRS,Coherus BioSciences Inc,생명과학 및 메디컬 리서치,562020
1177,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1178,LOVE,Lovesac Co,가정용품,532040
1179,OSPN,OneSpan Inc,소프트웨어 및 IT서비스,572010
1180,INSG,Inseego Corp,커뮤니케이션 및 네트워킹,571020
1181,PLL,Piedmont Lithium Inc,화학,511010
1182,CNOB,ConnectOne Bancorp Inc,은행,551010
1183,BATRK,Liberty Media Corp Series C,미디어 및 출판,533020
1184,VREX,Varex Imaging Corp,헬스케어 장비 및 용품,561010
1185,SBTX,Silverback Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1186,MESO,Mesoblast Ltd ADR,생명과학 및 메디컬 리서치,562020
1187,PFC,Premier Financial Corp (OHIO),은행,551010
1188,KNTE,Kinnate Biopharma Inc,생명과학 및 메디컬 리서치,562020
1189,DENN,Denny's Corp,호텔 및 엔터테인먼트,533010
1190,PSNL,Personalis Inc,생명과학 및 메디컬 리서치,562020
1191,IESC,IES Holdings Inc,건설 및 엔지니어링,522010
1192,ICLK,iClick Interactive Asia Group Ltd ADR,미디어 및 출판,533020
1193,FNKO,Funko Inc Class A,레저 상품,532050
1194,GSKY,GreenSky Inc Class A,핀테크,573010
1195,CHI,Calamos Convertible Opportunities and Income Fund,다양한 금융서비스,555010
1196,HERA,FTAC Hera Acquisition Corp Class A,기타 금융업,556010
1197,JBSS,John B Sanfilippo & Son Inc,식품 및 담배,541020
1198,SRRK,Scholar Rock Holding Corp,생명과학 및 메디컬 리서치,562020
1199,PYR,Pyrogenesis Canada Inc,전문 및 상업 서비스,522030
1200,AKRO,Akero Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1201,LE,Lands End Inc,전문품 상점,534030
1202,ATEX,Anterix Inc,통신 서비스,574010
1203,FWONA,Liberty Media Corp Series A,미디어 및 출판,533020
1204,RYTM,Rhythm Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1205,FFWM,First Foundation Inc,은행,551010
1206,COWN,Cowen Inc Class A,투자은행 및 서비스,551020
1207,CEVA,CEVA Inc,반도체 및 반도체 장비,571010
1208,DVAX,Dynavax Technologies Corp,생명과학 및 메디컬 리서치,562020
1209,SIBN,SI-BONE Inc,헬스케어 장비 및 용품,561010
1210,RXDX,Prometheus Biosciences Inc,생명과학 및 메디컬 리서치,562020
1211,EOSE,Eos Energy Enterprises Inc Class A,"건설장비 및 대형차, 기차, 배",521020
1212,FTCI,FTC Solar Inc,건설 및 엔지니어링,522010
1213,OCUL,Ocular Therapeutix Inc,제약,562010
1214,TCMD,Tactile Systems Technology Inc,헬스케어 장비 및 용품,561010
1215,BOOM,DMC Global Inc,오일 및 가스 장비 및 서비스,501030
1216,GABC,German American Bancorp Inc,은행,551010
1217,HLG,Hailiang Education Group Inc ADR,비즈니스교육,631030
1218,VUZI,Vuzix Corp,전자 장비 및 부품,571040
1219,TRIL,Trillium Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1220,BVS,Bioventus Inc Class A,헬스케어 장비 및 용품,561010
1221,BOMN,Boston Omaha Corp Class A,미디어 및 출판,533020
1222,ANDE,Andersons Inc,식품 및 담배,541020
1223,ALGS,Aligos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1224,OBNK,Origin Bancorp Inc,은행,551010
1225,ADTN,ADTRAN Inc,커뮤니케이션 및 네트워킹,571020
1226,CERS,Cerus Corp,헬스케어 장비 및 용품,561010
1227,KNSA,Kiniksa Pharmaceuticals Ltd Class A,생명과학 및 메디컬 리서치,562020
1228,RNA,Avidity Biosciences Inc,제약,562010
1229,GNOG,Golden Nugget Online Gaming Inc Class A,소프트웨어 및 IT서비스,572010
1230,LGO,Largo Resources Ltd,우라늄,503010
1231,VBIV,VBI Vaccines Inc,생명과학 및 메디컬 리서치,562020
1232,RTPYU,Reinvent Technology Partners Y,기타 금융업,556010
1233,MRSN,Mersana Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1234,CMAX,CareMax Inc Class A,기타 금융업,556010
1235,IIIV,I3 Verticals Inc Class A,전문 및 상업 서비스,522030
1236,KRNY,Kearny Financial Corp,은행,551010
1237,ZGNX,Zogenix Inc,생명과학 및 메디컬 리서치,562020
1238,GRVY,Gravity Co Ltd ADR,소프트웨어 및 IT서비스,572010
1239,PRAX,Praxis Precision Medicines Inc,생명과학 및 메디컬 리서치,562020
1240,QNST,Quinstreet Inc,미디어 및 출판,533020
1241,CNTB,Connect Biopharma Holdings Ltd ADR,생명과학 및 메디컬 리서치,562020
1242,ANGO,AngioDynamics Inc,헬스케어 장비 및 용품,561010
1243,NTUS,Natus Medical Inc,헬스케어 장비 및 용품,561010
1244,GGPI,Gores Guggenheim Inc Class A,기타 금융업,556010
1245,APOG,Apogee Enterprises Inc,주택건설,532030
1246,INBX,Inhibrx Inc,생명과학 및 메디컬 리서치,562020
1247,PFBC,Preferred Bank,은행,551010
1248,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020
1249,FTOC,FTAC Olympus Acquisition Corp Class A,기타 금융업,556010
1250,AMPH,Amphastar Pharmaceuticals Inc,제약,562010
1251,VXRT,Vaxart Inc,생명과학 및 메디컬 리서치,562020
1252,EVER,EverQuote Inc Class A,소프트웨어 및 IT서비스,572010
1253,SY,So-Young International Inc ADR,소프트웨어 및 IT서비스,572010
1254,RBCAA,Republic Bancorp Inc Class A,은행,551010
1255,BROG,Brooge Energy Ltd,오일 및 가스 장비 및 서비스,501030
1256,AFMD,Affimed NV,생명과학 및 메디컬 리서치,562020
1257,WETF,Wisdom Tree Investments Inc,투자은행 및 서비스,551020
1258,RAPT,Rapt Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1259,SWBI,Smith & Wesson Brands Inc,레저 상품,532050
1260,AFIN,American Finance Trust Inc Class A,주택 및 상업용 리츠,601020
1261,TSHA,Taysha Gene Therapies Inc,생명과학 및 메디컬 리서치,562020
1262,GRCL,Gracell Biotechnologies Inc ADR,생명과학 및 메디컬 리서치,562020
1263,SNDX,Syndax Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1264,CCXI,ChemoCentryx Inc,제약,562010
